iteration46.tre,44.44,60,56.25,46.67,50,50,52,40.91,40,34.29
iteration47.tre,53.85,58.33,42.11,38.89,45.83,52,41.67,37.5,34.62,37.93
iteration48.tre,41.67,41.67,65.22,52.94,54.55,45.83,40,52.17,47.83,41.67
iteration49.tre,50,42.86,46.15,60.87,47.37,44,45.45,38.1,33.33,37.93
iteration50.tre,53.85,64.29,46.15,55,63.16,45.83,38.89,33.33,35.48,48.57
iteration51.tre,68.75,66.67,50,50,47.62,48.28,57.14,40.74,42.86,40.74
iteration52.tre,61.54,45.45,45.83,57.14,56.52,55.56,44.44,33.33,50,35.29
iteration53.tre,75,58.82,50,50,50,43.48,43.48,50,50,40.74
iteration54.tre,58.33,73.33,50,43.75,47.83,54.17,46.43,36.67,45,37.93
iteration55.tre,63.64,69.23,44.44,50,42.11,45.83,42.11,44,50,34.29
iteration56.tre,55.56,50,52.38,52.38,52.17,52.63,40,37.5,40.91,45.71
iteration57.tre,70,53.33,57.89,56,50,41.67,50,46.67,35.48,37.93
iteration58.tre,63.64,64.29,52.63,47.62,50,38.1,48.15,47.62,36.67,40.74
iteration59.tre,53.85,46.15,57.89,50,47.83,39.13,50,45.45,27.27,48.57
iteration60.tre,60,58.82,57.89,54.55,57.14,44.83,56.52,38.71,39.29,34.38
iteration61.tre,68.75,57.14,47.37,54.17,57.14,29.41,45,36,36,35.29
iteration62.tre,69.23,56.25,58.33,47.06,50,46.43,40.74,46.88,41.18,35.29
iteration63.tre,50,56.25,52.38,44,50,48,47.83,43.48,31.82,34.29
iteration64.tre,50,42.86,42.86,43.75,55.56,48,43.48,37.04,37.04,37.93
iteration65.tre,50,52.94,55.56,42.86,45.83,52.94,41.38,52.17,43.75,45.71
iteration66.tre,55.56,40,60,52.63,50,52.63,43.48,46.15,45.83,34.29
iteration67.tre,53.85,62.5,41.18,50,45.16,48.39,39.29,44.83,47.37,34.29
iteration68.tre,50,71.43,52.38,61.11,47.62,57.14,56,46.67,33.33,34.38
iteration69.tre,58.33,55.56,50,50,56.52,47.83,36,48,50,37.93
iteration70.tre,50,57.14,55.56,57.14,38.1,37.04,52,45.16,31.03,37.93
iteration71.tre,66.67,55.56,47.06,56.52,46.67,51.72,38.46,33.33,37.5,34.29
iteration72.tre,60,58.33,52.63,56.52,44.44,45.45,46.43,40,42.86,48.57
iteration73.tre,50,54.55,46.67,47.37,44,45,50,43.48,41.38,35.29
iteration74.tre,60,66.67,43.75,52.17,55.56,50,47.83,52,45.83,34.29
iteration75.tre,57.14,68.75,61.11,52.63,45,47.62,36.36,40,33.33,34.29
iteration76.tre,46.15,61.11,52.63,41.67,63.64,42.31,47.83,47.06,41.67,36.67
iteration77.tre,50,55.56,35.71,52.38,45.45,48,51.72,37.5,37.5,34.29
iteration78.tre,71.43,56.25,46.67,52.63,52.63,44.44,50,50,48.15,34.48
iteration79.tre,66.67,50,50,47.62,42.31,47.37,44.74,50,31.82,34.29
iteration80.tre,63.64,50,50,57.69,43.48,51.85,41.67,35.29,41.38,45.71
iteration81.tre,50,52.94,50,46.43,56,43.33,36.67,40.62,37.04,35.29
iteration82.tre,45.45,62.5,41.18,50,45.83,57.14,48.28,37.93,46.43,48.57
iteration83.tre,75,53.85,58.82,57.14,37.5,47.62,56,37.5,37.5,36.67
iteration84.tre,69.23,46.15,63.16,42.31,50,48.39,53.12,47.62,46.67,40.74
iteration85.tre,68.75,60,42.86,52.38,53.57,56.52,57.14,34.38,41.38,34.29
iteration86.tre,58.33,57.14,35.71,46.15,50,42.11,39.13,37.5,37.5,36.67
iteration87.tre,60,45.45,53.33,47.62,40,44.44,33.33,50,35.71,37.93
iteration88.tre,55.56,70.59,50,52.63,52.63,53.33,57.89,39.13,38.46,37.93
iteration89.tre,33.33,60,50,59.09,52.17,35.71,38.1,37.5,39.13,34.29
iteration90.tre,53.85,64.71,43.75,57.14,55,48.39,47.62,40,38.46,34.29
iteration91.tre,71.43,66.67,55,52.94,50,50,37.5,41.67,45.95,34.48
iteration92.tre,66.67,45.45,44.44,55,41.18,54.55,38.46,33.33,46.67,37.93
iteration93.tre,57.14,61.54,50,58.82,46.43,50,46.88,37.04,39.47,36.67
iteration94.tre,50,50,52.94,42.11,47.37,44.83,42.86,50,45.45,37.93
iteration95.tre,70,40,63.16,47.06,54.17,50,46.43,48.15,39.13,37.93
iteration96.tre,71.43,53.85,60,44.44,45,60,46.15,33.33,36.67,34.48
iteration97.tre,58.33,55.56,36.36,47.06,54.55,56.52,45,44.83,31.25,45.71
iteration98.tre,75,73.68,55.56,54.17,43.48,48.15,50,42.42,47.06,48.57
iteration99.tre,57.14,50,56.25,60,50,52.17,42.31,40.91,47.62,34.38
iteration100.tre,55.56,60,55.56,50,47.83,52.17,36,40,33.33,37.93
